Name,alternateName,sowInstructions,spaceInstructions,harvestInstructions,compatiblePlants,avoidInstructions,culinaryHints,culinaryPreservation,url
Kohlrabi,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm),Space plants: 4 - 10 inches apart,Harvest in 7-10 weeks.,"Compatible with (can grow beside): Beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry, mustard","Use when young. Scrub well, cut off leaf stalks, roots and woody parts. Young ones do not need peeling. Can be grated raw for salads or cut in pieces and steam. Use in casseroles.",,http://gardenate.com/plant/Kohlrabi
Leeks,,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm)",Space plants: 4 - 8 inches apart,Harvest in 15-18 weeks. Loosen with a fork rather than pull by hand..,Compatible with (can grow beside): Carrots,,"Trim off the roots and any damaged leaves. Young ones can be used whole with some of the green leaves. Wash thoroughly as the earth tends to get inside. Chop and fry in butter (or olive oil) until tender. Can be added to casserole meals, allowing time to cook through. Leek and mushroom make a tasty combination for a tart filling.",,http://gardenate.com/plant/Leeks
Lemon Balm,Sweet balm,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 10 inches apart,Harvest in 8-10 weeks. Cut back tall stems to prevent flowering.,Compatible with (can grow beside): Good to attract bees,,"As a herb tea or added to fruit punch. Can be used to replace lemon, used sparingly, in desserts and with stewed fruit. Chop leaves into salad. Better used fresh than dried.",,http://gardenate.com/plant/Lemon%2BBalm
Lettuce,,"Easy to grow. Sow in garden, or start in seed trays and plant out in 4-6 weeks.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 8°C and 27°C. (Show °F/in)",Space plants: 20 - 30 cm apart,Harvest in 8-12 weeks.,"Compatible with (can grow beside): Carrots, Onions, Strawberries, Beets, Brassicas, Radish, Marigold, Borage, Chervil, Florence fennel, leeks.","Avoid growing close to: Parsley, Celery","Wash well, spin or shake dry and use in salads and sandwiches",,http://gardenate.com/plant/Lettuce
Luffa,"Loofah, plant sponge","Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 86°F. (Show °C/cm)",Space plants: 18 - 30 inches apart,Harvest in 11-12 weeks. Use as a back scratcher.,"Compatible with (can grow beside): Peas, Beans, Onions, Sweetcorn",Avoid growing close to: Potatoes,The luffa flowers and fruits are soft and edible when young and are sometimes cooked and eaten like squash or okra. Loofah has been an important food source in many Asian cultures. The leaves and vines should not be eaten.,,http://gardenate.com/plant/Luffa
Marrow,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 95°F. (Show °C/cm)",Space plants: 35 - 47 inches apart,Harvest in 12-17 weeks.,"Compatible with (can grow beside): Peas, Beans, Onions, Sweetcorn",Avoid growing close to: Potatoes,"Good, cut in thick slices, seeds removed and stuffed with mince or spicy vegetable mix then baked in the oven",,http://gardenate.com/plant/Marrow
Mint,Garden mint,Easy to grow. Grow in trays and plant out or start from cuttings. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 75°F. (Show °C/cm),Space plants: 12 inches apart,Harvest in 8-12 weeks. Cut leaves from top with scissors.,"Compatible with (can grow beside): Cabbages, Tomatoes",,Mint adds a fresh flavour if chopped and sprinkled over salads. And is traditionally used mixed with vinegar and sugar to make mint sauce for lamb.,,http://gardenate.com/plant/Mint
Mizuna,"Japanese Greens, Mitzuna, Mibuna",Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 6 - 8 inches apart,Harvest in 35-50 days.,"Compatible with (can grow beside): Radish, lettuce",,"Leaves used raw, stir-fried, in soups. Young flowering stems can be cooked like broccoli.",,http://gardenate.com/plant/Mizuna
Mustard greens,Gai choy,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 95°F. (Show °C/cm),Space plants: 14 - 24 inches apart,Harvest in 5-8 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, camomile)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry",Use young leaves in salad for a 'spicy kick'. Add to stir fry.,,http://gardenate.com/plant/Mustard%2Bgreens
Okra,"Ladyfinger, gumbo","Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 95°F. (Show °C/cm)",Space plants: 14 - 24 inches apart,Harvest in 11-14 weeks.,"Compatible with (can grow beside): Peppers (Capsicum, Chili), Eggplant (Aubergine)",,Use pods fresh or dried in soups or casseroles or as a boiled vegetable.,,http://gardenate.com/plant/Okra
Onion,,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm)",Space plants: 2 - 4 inches apart,Harvest in 25-34 weeks. Allow onions to dry before storing.,"Compatible with (can grow beside): Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Avoid growing close to: Peas, Beans",Brown onions roasted whole with other vegetables are delicious. Red onions add colour to salads or stir-fry.,,http://gardenate.com/plant/Onion
Oregano,Pot Marjoram,"Sow in garden, or start in seed trays. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 77°F. (Show °C/cm)",Space plants: 6 inches apart,Harvest in 6-8 weeks. When flowers appear.,Compatible with (can grow beside): Broccoli,,"Used to flavour tomato dishes, soups, sauces and Greek dishes like moussaka",,http://gardenate.com/plant/Oregano
Pak Choy,Pak choi,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 86°F. (Show °C/cm),Space plants: 12 - 16 inches apart,Harvest in 6-11 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile, coriander), lettuce, potatoes","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard","You can treat Pak Choy as ""cut and come again "" or use the whole plant in one go, whichever suits your needs.",,http://gardenate.com/plant/Pak%2BChoy
Parsley,Curly leaf parsley or flat leaf (Italian) parsley,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 8 - 12 inches apart,Harvest in 9-19 weeks. Cut stalks from outer part of plant.,"Compatible with (can grow beside): Carrots, Chives, Tomatoes, Asparagus",Avoid growing close to: Potatoes,"Use the leaves and stems to add flavour and colour. Can be cooked in dishes such as ratatouille, Traditionally used in white sauce.",,http://gardenate.com/plant/Parsley
Parsnip,,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 43°F and 70°F. (Show °C/cm),Space plants: 3 - 4 inches apart,Harvest in 17-20 weeks. Best flavour if harvested after a frost..,"Compatible with (can grow beside): Swiss Chard (Silverbeet), Capsicum, Peas, Potatoes, Beans, Radishes, Garlic","Avoid growing close to: Carrot, Celery, Brassicas",Peel and roast with vegetables or meat. The sweetish flavour of parsnips enhances most other vegetables.,,http://gardenate.com/plant/Parsnip
Peas,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 8°C and 24°C. (Show °F/in),Space plants: 5 - 8 cm apart,Harvest in 9-11 weeks. Pick the pods every day to increase production.,Compatible with (can grow beside): Potatoes,,Raw straight from the pod in the garden is best! Raw in salads. Steamed lightly. Small pods can be steamed whole.,,http://gardenate.com/plant/Peas
Potato,,Plant tuber. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 12 - 16 inches apart,"Harvest in 15-20 weeks. Dig carefully, avoid damaging the potatoes.","Compatible with (can grow beside): Peas, Beans, Brassicas, Sweetcorn, Broad Beans, Nasturtiums, Marigolds","Avoid growing close to: Cucumber, Pumpkin, Sunflowers, Tomatoes, Rosemary","Peeled or unpeeled and scrubbed, potatoes can be boiled, baked, fried and roasted. - The only way they are not used is raw. Keep in a pot of cold water after peeling, otherwise they will discolour.",,http://gardenate.com/plant/Potato
Pumpkin,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 90°F. (Show °C/cm),Space plants: 35 - 47 inches apart,Harvest in 15-20 weeks.,Compatible with (can grow beside): Sweet Corn,Avoid growing close to: Potatoes,"Cut up, remove the skin and roast with other vegetables or meat. Young crisp shoots with young leaves can be cooked and eaten - stewed in coconut milk they are popular in Melanesia. Remove any strings and tough parts and stew until tender, or cook as a vegetable in boiling water 3-5 minutes.",,http://gardenate.com/plant/Pumpkin
Radish,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm),Space plants: 1 - 2 inches apart,Harvest in 5-7 weeks.,"Compatible with (can grow beside): Chervil, cress,lettuce, leeks, spinach, strawberries, tomatoes","Avoid growing close to: Hyssop, gherkins",Wash well and remove leaves and roots. Use raw in salads or on their own with bread and butter.,,http://gardenate.com/plant/Radish
Rhubarb,,Easy to grow. Plant pieces of rhizome or roots 8 - 10 cm (3 - 4 in.) deep. Best planted at soil temperatures between 41°F and 68°F. (Show °C/cm),Space plants: 35 inches apart,Harvest in approximately 1 years. You will have a stronger plant if you leave it for about a year before using..,"Compatible with (can grow beside): Brassicas (Cabbage, Broccoli, Cauliflower, etc)",,"Pick stems about the thickness of your finger. Large stems will have tough 'strings' down the length of them. Use in pies, crumbles, fools and jams. Rhubarb goes well with orange. Will usually need sweetener.",,http://gardenate.com/plant/Rhubarb
Rocket,Arugula/Rucola,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 6 - 8 inches apart,Harvest in 21-35 days.,Compatible with (can grow beside): Lettuce,,Use in salads and stir-fry,,http://gardenate.com/plant/Rocket
Rockmelon,Canteloupe,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 90°F. (Show °C/cm)",Space plants: 16 - 24 inches apart,Harvest in 10-16 weeks.,"Compatible with (can grow beside): Sweetcorn, Sunflowers",Avoid growing close to: Potatoes,Cut in half and scoop out and discard the seeds. Sprinkle with some ground ginger or serve plain.,,http://gardenate.com/plant/Rockmelon
Rosella,"Queensland Jam Plant, Roselle","Sow in garden, or start in seed trays. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 20°C and 35°C. (Show °F/in)",Space plants: 140 cm apart,Harvest in 21-25 weeks.,"Compatible with (can grow beside): Feverfew, Coriander, Nasturtium and Hyssop",,"The large flowers produce a crimson enlarged calyx. Use the fleshy red calyx, without the green seed pod to make jam or jelly.",,http://gardenate.com/plant/Rosella
Rosemary,,Easy to grow. Plant cuttings . Best planted at soil temperatures between 59°F and 68°F. (Show °C/cm),Space plants: 39 - 59 inches apart,"Harvest in approximately 1 years. In warmer areas, harvest time might be shorter.","Compatible with (can grow beside): Beans, Carrots, Cabbages, Sage",Avoid growing close to: Potatoes,"Leaves sprinkled on roast potatoes, meat and barbeque food make them extra tasty. Rosemary can also be used to add flavour to vinegars and oils.",,http://gardenate.com/plant/Rosemary
Rutabaga,Swedes,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45°F and 77°F. (Show °C/cm),Space plants: 4 - 8 inches apart,Harvest in 10-14 weeks.,"Compatible with (can grow beside): Peas, Beans, Chives",Avoid growing close to: Potatoes,Use when about the size of a tennis ball. The leaves can be cooked like cabbage when young.,,http://gardenate.com/plant/Rutabaga
Sage,Common Sage,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 20 inches apart,Harvest in approximately 18 months. Time reduced if grown from cuttings.,"Compatible with (can grow beside): Broccoli, Cauliflower, Rosemary, Cabbage and Carrots",,The leaves are used to flavour stuffing and meat dishes. Sage keeps well if dried.,,http://gardenate.com/plant/Sage
Salsify,Vegetable oyster,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 6 - 8 inches apart,Harvest in 14-21 weeks.,"Compatible with (can grow beside): Beans, Brassicas, Carrots, Celeriac, Endive, Kohl-rabi, Leeks, Lettuce, Alliums, Spinach",,Wash and scrape the roots then boil before frying or roasting. They can also be used to make a creamed soup.,,http://gardenate.com/plant/Salsify
Savory - summer savory,Bean Herb,Easy to grow. Sow in Garden. Lightly cover.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 86°F. (Show °C/cm),Space plants: 10 inches apart,Harvest in 6-10 weeks. Cut before flowers form for best flavour.,"Compatible with (can grow beside): Beans, Onions",,"Usually added to peas, beans or lentils. It has a slightly spicy flavour.",,http://gardenate.com/plant/Savory%2B-%2Bsummer%2Bsavory
Savory - winter savory,Savory,Easy to grow. Start in trays. Cover seed lightly.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 86°F. (Show °C/cm),Space plants: 12 - 16 inches apart,Harvest in 6-10 weeks. Use the leaves fresh..,Compatible with (can grow beside): Beans,,Can be used as seasoning for beans and other green vegetables.,,http://gardenate.com/plant/Savory%2B-%2Bwinter%2Bsavory
Shallots,Eschalots,"Easy to grow. Plant small bulblets, with stem just showing above ground. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm)",Space plants: 6 - 8 inches apart,Harvest in 12-15 weeks. Keep a few for your next planting.,"Compatible with (can grow beside): Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Avoid growing close to: Peas, Beans","Use in any recipe instead of onions. Can be cooked whole, braised gently with other vegetables.",Can be pickled.,http://gardenate.com/plant/Shallots
Silverbeet,Swiss Chard or Mangold,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 6 - 12 inches apart,Harvest in 7-12 weeks.,"Compatible with (can grow beside): Beans, brassica sp. (cabbage, cauliflower, etc), tomato, allium sp. (onion, garlic, chives), lavender, parsnip","Avoid growing close to: Corn, melon, cucurbit (cucumbers, squash, melons, gourds), most herbs, potato.",Wash thoroughly and inspect the back of the leaves for insects. Chop and put in a saucepan with very little water ( or just what is on the leaves). Cover and cook over a low to medium heat until the leaves collapse. A small amount of nutmeg enhances the flavour.,,http://gardenate.com/plant/Silverbeet
Snow Peas,"Sugar Peas, Mangetout, Chinese Peas",Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 68°F. (Show °C/cm),Space plants: 3 - 4 inches apart,Harvest in 12-14 weeks.,"Compatible with (can grow beside): Carrots, Endive, Florence fennel, Winter lettuce, Brassicas.","Avoid growing close to: Chives, Alliums, Tomatoes",Cook whole or eat raw in salads,,http://gardenate.com/plant/Snow%2BPeas
Spinach,English spinach,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 8 - 12 inches apart,Harvest in 5-11 weeks.,"Compatible with (can grow beside): Broad beans (fava), cabbage, cauliflower, celery, eggplant (aubergine), onion, peas, strawberry, santolina",,Use young leaves in salad. Steam and add to other vegetables.,,http://gardenate.com/plant/Spinach
Spring onions,"Scallions, Bunching onions, Welsh onion",Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: close together,Harvest in 8-12 weeks.,"Compatible with (can grow beside): Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Avoid growing close to: Peas, Beans",Can be eaten raw in salads. Often used chopped and sprinkled on Asian stir-fry.,,http://gardenate.com/plant/Spring%2Bonions
Squash,"Crookneck, Pattypan, Summer squash","Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 95°F. (Show °C/cm)",Space plants: 24 - 31 inches apart,Harvest in 7-8 weeks.,Compatible with (can grow beside): Sweet corn,,Use whole or sliced. Steam or fry.,,http://gardenate.com/plant/Squash
Strawberries (from seeds),,Start inside in pots or trays after chilling seeds.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 12 - 39 inches apart,Harvest in approximately 1 years. Seedlings need to grow for about a year before fruiting. Remove first flowers. .,Compatible with (can grow beside): Better in a bed on their own to allow good sun and air circulation,"Avoid growing close to: If you are using rotation beds, avoid putting strawberries where you have grown tomatoes, potatoes, peppers or eggplant","Strawberries can be used in any dessert needing soft fruit or berries. Summer pudding with raspberries and blackberries or boysenberries, mousse, trifle, dipped in melted chocolate or just with cream. Sprinkle a bowl of strawberries with balsamic vinegar and a little sugar to enhance the flavour and colour.Straight from the garden, warmed by the sun is best.",,http://gardenate.com/plant/Strawberries%2B(from%2Bseeds)
Strawberry Plants,,Easy to grow. Plant with crown (of roots) just covered.. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 12 - 39 inches apart,"Harvest in approximately 11 weeks. Strawberries bruise easily when ripe, handle carefully. Pick with a small piece of stem attached..",Compatible with (can grow beside): Better in a bed on their own to allow good sun and air circulation,"Avoid growing close to: If you are using rotation beds, avoid putting strawberries where you have grown tomatoes, potatoes, peppers or eggplant","Pick strawberries and eat them straight from the garden - warm from the sunshine, delicious! Strawberries can be used in any dessert needing soft fruit or berries. Summer pudding which also has raspberries and blackberries or boysenberries, mousse, trifle, dipped in melted chocolate or just with cream. Sprinkle a bowl of strawberries with balsamic vinegar and a little sugar to enhance the flavour and colour.",,http://gardenate.com/plant/Strawberry%2BPlants
Sunflower,,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 8 - 12 inches apart,Harvest in 10-11 weeks.,"Compatible with (can grow beside): Cucumbers, Melons, Sweetcorn, Squash",Avoid growing close to: Potatoes,Use seeds fresh or toasted,,http://gardenate.com/plant/Sunflower
Sweet corn,Maize,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61°F and 95°F. (Show °C/cm),Space plants: 8 - 12 inches apart,Harvest in 11-14 weeks.,"Compatible with (can grow beside): All beans, cucumber, melons, peas, pumpkin, squash, amaranth",Avoid growing close to: Celery.,Piick and cook within an hour. Remove the silks and outer leaves. Best flavour if microwave about 4 minutes per cob. Can be barbequed wrapped in foil. Cook large amounts in a stock pot until test soft. Sprinkle with black pepper and dip in butter.,,http://gardenate.com/plant/Sweet%2Bcorn
Sweet Marjoram,Knotted marjoram,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm)",Space plants: 8 inches apart,Harvest in 8-10 weeks. Best flavour if picked before flowering.,"Compatible with (can grow beside): Peppers (Capsicums, Chilis), Sage,",,"Sweet Marjoram has a mild oregano flavor with a hint of balsam. Sweet Marjoram can be used as a substitute for oregano in sauces for mediterranean style pizza, lasagna, and eggplant parmigiana.",,http://gardenate.com/plant/Sweet%2BMarjoram
Sweet Potato,Kumara,Plant shoots or cuttings (Slips). Best planted at soil temperatures between 63°F and 95°F. (Show °C/cm),Space plants: 16 - 24 inches apart,Harvest in 15-17 weeks.,Compatible with (can grow beside): Best in Separate bed,,"Use mashed, boiled, roasted, baked or fried. Or use in soups, pies, casseroles, curries and salads.",,http://gardenate.com/plant/Sweet%2BPotato
Taro,"Dasheen, cocoyam","Plant small pieces of tuber or suckers, 5-8cm deep. Best planted at soil temperatures between 68°F and 95°F. (Show °C/cm)",Space plants: 31 inches apart,Harvest in approximately 28 weeks. When the leaves begin to die down. .,Compatible with (can grow beside): Best in separate bed,,"Taro can be cooked like potatoes, boiled, roasted, fried or steamed. It is not eaten raw.",,http://gardenate.com/plant/Taro
Thyme,Common thyme,Grow in seed trays and plant out 6-8 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59°F and 77°F. (Show °C/cm),Space plants: 10 - 12 inches apart,Harvest in 42-52 weeks. Root divisions ready in 3 months.,"Compatible with (can grow beside): Dry-environment herbs (oregano,sage), Eggplant, Cabbage",,"Common, lemon, orange and caraway thyme are used in cooking. Thyme is mainly used with meat and fish but also tastes good with vegetables such as mushrooms, beans and carrots. The flavour can be very intense so thyme is best used sparingly.",,http://gardenate.com/plant/Thyme
Tomatillo,,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 81°F. (Show °C/cm)",Space plants: 28 inches apart,Harvest in 10-14 weeks. Husk splits when fruit is ripe..,Compatible with (can grow beside): Will happily grow in a flower border,,Use in spicy sauces with or to replace tomatoes. They are the base of salsa verde in Mexican cookery.,,http://gardenate.com/plant/Tomatillo
Tomato,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61°F and 95°F. (Show °C/cm)",Space plants: 16 - 24 inches apart,Harvest in 8-17 weeks.,"Compatible with (can grow beside): Asparagus, Chervil,Carrot, Celery, Chives, Parsley, Marigold, Basil","Avoid growing close to: Rosemary, Potatoes, Fennel","Use in sauces, with fried meals, in sandwiches.",Can be frozen whole or in pieces.,http://gardenate.com/plant/Tomato
Turnip,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 12°C and 30°C. (Show °F/in),Space plants: 12 - 20 cm apart,Harvest in 6-9 weeks.,"Compatible with (can grow beside): Peas, Beans, Chives, Spinach, Carrots, Chicory","Avoid growing close to: Potatoes, Tomatoes",Grate young turnips and use raw in salads. Use older turnips in casseroles and stews.,,http://gardenate.com/plant/Turnip
Watermelon,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 95°F. (Show °C/cm)",Space plants: 24 - 30 inches apart,Harvest in 12-17 weeks.,"Compatible with (can grow beside): Sweetcorn, Sunflowers",Avoid growing close to: Potatoes,Cut up and eat in slices. Use to make fruit drinks. Use in fruit salads.,,http://gardenate.com/plant/Watermelon
Yacon,Sunroot,Easy to grow. Plant sprouting root/tuber to a depth of about 4cm and mulch to cover. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 39 inches apart,Harvest in approximately 25 weeks. You can collect a few at a time without digging out the whole plant..,Compatible with (can grow beside): Best in separate bed,,"The large roots can be used raw in salads peel and chop. Sprinkle with lemon juice to prevent browning. 'In the Andes, they are grated and squeezed through a cloth to yield a sweet refreshing drink. The juice can also be boiled down to produce a syrup. In South America the juice is concentrated to form dark brown blocks of sugar called chancaca.' (Green Harvest)",,http://gardenate.com/plant/Yacon
Zucchini,"Courgette/Marrow, Summer squash","Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 95°F. (Show °C/cm)",Space plants: 20 - 35 inches apart,Harvest in 6-9 weeks. Cut the fruit often to keep producing.,"Compatible with (can grow beside): Corn, beans, nasturtiums, parsley, Silverbeet, Tomatoes",Avoid growing close to: Potatoes,Zucchini are best picked or cut off the stem at about 15cm / 6 inches.Pick frequently to keep the plant producing new flowers.,,http://gardenate.com/plant/Zucchini